@relation UCAB

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute clase {Pasillo,L1207,L1208,L1209,L1210,L1211,L1212,L1213}

@data
-19.739999771118164,-5.497000217437744,-10.444999694824219,?
-19.610000610351562,-5.456999778747559,-10.494999885559082,?
-19.790000915527344,-5.565749645233154,-10.476249694824219,?
-19.715002059936523,-5.532099723815918,-10.510000228881836,?
-19.55258560180664,-5.522082805633545,-10.420000076293945,?
-19.61508560180664,-5.509582996368408,-10.470000267028809,?
-19.66508674621582,-5.447082996368408,-10.470000267028809,?
-19.752500534057617,-5.397083282470703,-10.370000839233398,?
-19.85249900817871,-5.422000408172607,-10.320000648498535,?
-20.127416610717773,-5.447000026702881,-10.420001029968262,?
-20.052417755126953,-5.422000408172607,-10.395000457763672,?
-20.052417755126953,-5.422083377838135,-10.395000457763672,?
-19.877500534057617,-5.409584045410156,-10.494999885559082,?
-19.790002822875977,-5.32216739654541,-10.507500648498535,?
-19.602584838867188,-5.309667587280273,-10.420000076293945,?
-19.540084838867188,-5.409667491912842,-10.382500648498535,?
-19.440168380737305,-5.384583950042725,-10.420000076293945,?
-19.40275001525879,-5.397083759307861,-10.407500267028809,?
-19.46525001525879,-5.384583950042725,-10.382500648498535,?
-19.427751541137695,-5.35966682434082,-10.470000267028809,?
-19.490251541137695,-5.347166538238525,-10.457500457763672,?
-19.55266761779785,-5.372167110443115,-10.432499885559082,?
-19.4776668548584,-5.347249984741211,-10.470000267028809,?
-19.327669143676758,-5.447166919708252,-10.519999504089355,?
-19.59000015258789,-5.472083568572998,-10.570000648498535,?
-19.565000534057617,-5.522083282470703,-10.582499504089355,?
-19.727502822875977,-5.809499740600586,-10.557500839233398,?
-19.83991813659668,-5.921999454498291,-10.582499504089355,?
-20.064918518066406,-6.046999454498291,-10.532500267028809,?
-19.865001678466797,-6.121999740600586,-10.519999504089355,?
-19.927501678466797,-6.109499454498291,-10.532500267028809,?
-19.95250129699707,-6.009500026702881,-10.482500076293945,?
-19.815000534057617,-5.9095001220703125,-10.370000839233398,?
-19.602584838867188,-5.871999740600586,-10.282500267028809,?
